Tulu Comment,Sentiment,Cleaned_Comment
Teddy bear quality okay okay ittnd aanda size small aand. ,neutral,teddy bear quality okay okay ittnd aanda size small aand
Delivery boy rude aad yenna parcel tear malth poye. ,negative,delivery boy rude aad yenna parcel tear malth poye
content matra solid undu,positive,content matra solid undu
undu mast weak twist ittend,negative,undu mast weak twist ittend
Volvo bus ride yedde comfortable ittnd AC la sari ittnd. ,positive,volvo bus ride yedde comfortable ittnd ac la sari ittnd
Bike engine da sound yedde ittji ride la mast uncomfortable ittnd. ,negative,bike engine da sound yedde ittji ride la mast uncomfortable ittnd
"Service chur la yedde ittiji, below average",negative,service chur la yedde ittiji below average
Cat grooming brush mast useful aand hair fall la significantly reduce aand.,positive,cat grooming brush mast useful aand hair fall la significantly reduce aand
Drama stage da setup weak ittnd sound quality la aat yedde ittji. ,negative,drama stage da setup weak ittnd sound quality la aat yedde ittji
Loan approval fast aand process la simple ittnd. ,positive,loan approval fast aand process la simple ittnd
overall laik and panoli,neutral,overall laik and panoli
"aath dala ittiji, content matra plain ittend",neutral,aath dala ittiji content matra plain ittend
Ration shop da queue mast long ittnd management laik ittji. ,negative,ration shop da queue mast long ittnd management laik ittji
Puzzle game okay okay ittnd design simple aand. ,neutral,puzzle game okay okay ittnd design simple aand
Juice mast watery aad ittnd ait fruit da taste la barondittiji.,negative,juice mast watery aad ittnd ait fruit da taste la barondittiji
undu simple ok undu,neutral,undu simple ok undu
UPI payment yedde smooth ittnd transaction la instantly aand.,positive,upi payment yedde smooth ittnd transaction la instantly aand
ath dala crazy ittiji just normal,neutral,ath dala crazy ittiji just normal
Pest control staff mast rude itter behaviour la aat yedde ittji. ,negative,pest control staff mast rude itter behaviour la aat yedde ittji
undu acting chur over undu,negative,undu acting chur over undu
story mast simple diter,neutral,story mast simple diter
"Mobile da display mast clear ittnd, gaming malpareg yeddde smooth and. ",positive,mobile da display mast clear ittnd gaming malpareg yeddde smooth and
Swiggy delivery mast fast ittnd food la hot hot ittnd. ,positive,swiggy delivery mast fast ittnd food la hot hot ittnd
tulu pride undu bro,positive,tulu pride undu bro
climax average ittend,neutral,climax average ittend
Dress da colour yedde bright ittnd material la comfortable ittnd. ,positive,dress da colour yedde bright ittnd material la comfortable ittnd
Amusement park food mast narakka ittnd taste la yedde ittji.,negative,amusement park food mast narakka ittnd taste la yedde ittji
Online shopping da return process mast slow ittnd refund la mast late battnd. ,negative,online shopping da return process mast slow ittnd refund la mast late battnd
Theatre AC yedde ittji mast slow cooling avond ittnd. ,negative,theatre ac yedde ittji mast slow cooling avond ittnd
Amazon Fresh veggies da quality average ittnd aanda rate fine ittnd.,neutral,amazon fresh veggies da quality average ittnd aanda rate fine ittnd
undu matra heart touching ittend ava,positive,undu matra heart touching ittend ava
"song repeated ithend, bore and ",negative,song repeated ithend bore and
direction matra crazy undu neat ad execution and,positive,direction matra crazy undu neat ad execution and
School campus mast neat ittnd teachers la full supportive itter.,positive,school campus mast neat ittnd teachers la full supportive itter
Office cafeteria food okay okay ittnd aand price jasti aand. ,neutral,office cafeteria food okay okay ittnd aand price jasti aand
trailor matra topp undu,positive,trailor matra top undu
Kurta d embroidery mast neat ittnd fabric la yedd light ittnd. ,positive,kurta d embroidery mast neat ittnd fabric la yedd light ittnd
Movie songs average itta aand background score yedde ittnd. ,neutral,movie songs average itta aand background score yedde ittnd
Toaster performance okay okay ittnd bread kelav sari uneven ittnd. ,neutral,toaster performance okay okay ittnd bread kelav sari uneven ittnd
Salon da service okay okay ittnd haircut normal und. ,neutral,salon da service okay okay ittnd haircut normal und
Boat ride yedde smooth ittnd scenary la mast beautiful ittnd. ,positive,boat ride yedde smooth ittnd scenary la mast beautiful ittnd
"editing sharp ithend, yedde pace",positive,editing sharp ithend yedde pace
Spa d massage mast relaxing ittnd staff la mast professional itter. ,positive,spa d massage mast relaxing ittnd staff la mast professional itter
Fridge da cooling yedde fast und vegetables mata fresh ippuva.,positive,fridge da cooling yedde fast und vegetables mata fresh ippuva
onji sarti tuvare ok undu,neutral,onji sarti tuvare ok undu
Fairground rides mast unsafe feel aaya staff la mast careless itter. ,negative,fairground rides mast unsafe feel aaya staff la mast careless itter
kelav scenes baji booring ittend ,negative,kelav scenes baji boring ittend
undu not bad but not good undu,neutral,undu not bad but not good undu
overall simple decent film undu,neutral,overall simple decent film undu
Car service center staff polite itter aanda distance jasti aand. ,neutral,car service center staff polite itter aanda distance jasti aand
song matra saik undu goosebumps barpund,positive,song matra saik undu goosebumps barpund
Maid maltina bele mast reliable ittnd house full clean aand. ,positive,maid maltina bele mast reliable ittnd house full clean aand
dialogues average undu casual adh,neutral,dialogues average undu casual adh
Airport cab driver yedde helpful itter luggage geppareg la help malter. ,positive,airport cab driver yedde helpful itter luggage geppareg la help malter
"overall positive vibes ithend, nice tuvare",positive,overall positive vibes ithend nice tuvare
Movie d acting mast strong ittnd dialogues mata mast powerful itta . ,positive,movie d acting mast strong ittnd dialogues mata mast powerful itta
movie tood mast confusion and direction correct ittiji,negative,movie tood mast confusion and direction correct ittiji
undu vibes matra ok ok undu,neutral,undu vibes matra ok ok undu
Cinema edde ittnd aanda second half mast slow aand. ,neutral,cinema edde ittnd aanda second half mast slow aand
Cricket bat da quality yedde ittji handle pakka break aand. ,negative,cricket bat da quality yedde ittji handle pakka break aand
"trailer ok ithend, dala bad ijji",neutral,trailer ok ithend dala bad ijji
Coffee taste yedde fresh ittnd aanda quantity mast kammi aand . ,neutral,coffee taste yedde fresh ittnd aanda quantity mast kammi aand
Mobile charging da speed laik undu battery backup la super undu. ,positive,mobile charging da speed laik undu battery backup la super undu
story weak ithend yenk connect malpare aiji,negative,story weak ithend yenk connect malpare aiji
anna acting matra yena saik ittend,positive,anna acting matra yena saik ittend
undu normal comedy ittend,negative,undu normal comedy ittend
Pet shampoo da smell mast strong ittnd dog g mast irritate aand.,negative,pet shampoo da smell mast strong ittnd dog g mast irritate aand
"movie super ithend, yenk like and",positive,movie super ithend yenk like and
undu full timepass malpre pantina movie ok ish,neutral,undu full timepass malpre pantina movie ok ish
Laundry service average ittnd ironing la normal ittnd.,neutral,laundry service average ittnd ironing la normal ittnd
climax matra awesome ittend dala pandala,positive,climax matra awesome ittend dala pandala
Health camp da facilities average itta kali basic checkup matra. ,neutral,health camp da facilities average itta kali basic checkup matra
Dog treats mast yedde itta . ,positive,dog treats mast yedde itta
dialogues casual and realistic ijji,neutral,dialogues casual and realistic ijji
Swiggy tracking mast smooth ittnd updates mast accurate itta.,positive,swiggy tracking mast smooth ittnd updates mast accurate itta
Chips masala okay okay ittnd taste la normal ittnd. ,neutral,chips masala okay okay ittnd taste la normal ittnd
"Concert da sound system yeddde ittiji, music onchoor la clear ittiji. ",negative,concert da sound system yeddde ittiji music onchoor la clear ittiji
netta content chur overhyped undu,negative,netta content chur overhyped undu
"music average ithend, kammi yedde tracks ithend",neutral,music average ithend kammi yedde tracks ithend
Amusement park staff rude itter management mast poor ittnd. ,negative,amusement park staff rude itter management mast poor ittnd
climax scene ed mast twist undu ya,positive,climax scene ed mast twist undu ya
Coffee da taste average ittnd anda ambience laik ittnd. ,neutral,coffee da taste average ittnd anda ambience laik ittnd
storyline ok ok average undu special ijji,neutral,storyline ok ok average undu special ijji
"Hotel breakfast mast laik ittnd, service la fast fast ittnd. ",positive,hotel breakfast mast laik ittnd service la fast fast ittnd
Tourist spot okay okay ittnd aanda crowd jasti aand. ,neutral,tourist spot okay okay ittnd aanda crowd jasti aand
Rice cooker use malpareg mast easy ittnd cooking la fast fast aand. ,positive,rice cooker use malpareg mast easy ittnd cooking la fast fast aand
Dog food quality mast yedde ittnd yenna dog bega healthy aand.,positive,dog food quality mast yedde ittnd yenna dog bega healthy aand
"visuals la ok ok ithend, average ithend",neutral,visuals la ok ok ithend average ithend
Restaurant da ambience yedde ittnd aanda food okay okay .,neutral,restaurant da ambience yedde ittnd aanda food okay okay
Govt hospital hygiene mast narakka ittnd chur la cleanliness ittji.,negative,govt hospital hygiene mast narakka ittnd chur la cleanliness ittji
Dining table yedde strong und finishing mata neat und. ,positive,dining table yedde strong und finishing mata neat und
Ambulance service mast speed ittnd response la yedde ittnd. ,positive,ambulance service mast speed ittnd response la yedde ittnd
Mutual fund advice okay okay ittnd returns normal itta.,neutral,mutual fund advice okay okay ittnd returns normal itta
climax scene mast emotional itend super,positive,climax scene mast emotional itend super
Flight da service yedde smooth ittnd landing la safe aand. ,positive,flight da service yedde smooth ittnd landing la safe aand
Phone da camera yedde sharp undu night photos mast clear baida. ,positive,phone da camera yedde sharp undu night photos mast clear baida
Pet boarding service mast safe ittnd staff la yedde friendly itta. ,positive,pet boarding service mast safe ittnd staff la yedde friendly itta
netta beat matra fire unduya,positive,netta beat matra fire unduya
Music app playlist mast yedde ittnd yenna mood refresh aand. ,positive,music app playlist mast yedde ittnd yenna mood refresh aand
Shampoo da smell mast strong ittnd hair mast dry aand. ,negative,shampoo da smell mast strong ittnd hair mast dry aand
Coworking space ambience mast yedde ittnd wifi la fast ittnd. ,positive,coworking space ambience mast yedde ittnd wifi la fast ittnd
hero da entry matra crazy undu,positive,hero da entry matra crazy undu
Train delay aand anda seat yedde comfortable ittnd. ,neutral,train delay aand anda seat yedde comfortable ittnd
"Match full exciting ittnd, audience mata full josh d naltonditter.",positive,match full exciting ittnd audience mata full josh d naltonditter
Dunzo service okay okay ittnd kelav sari delay la ittnd.,neutral,dunzo service okay okay ittnd kelav sari delay la ittnd
Chips mast crispy itta masala la perfect ittnd. ,positive,chips mast crispy itta masala la perfect ittnd
alna acting ok ok undu,neutral,alna acting ok ok undu
alna acting matra worst andh panoli,negative,alna acting matra worst andh panoli
"climax strong la ijji weak la ijji, ok ithend",neutral,climax strong la ijji weak la ijji ok ithend
Radio station ads mast jasti itta onchoor irritate aand. ,negative,radio station ads mast jasti itta onchoor irritate aand
"climax predictable ithend, matra fine",neutral,climax predictable ithend matra fine
average output ittend,neutral,average output ittend
Park da greenary laik aad ittnd walking malpanaga yedde relax feel aand. ,positive,park da greenary laik aad ittnd walking malpanaga yedde relax feel aand
acting matra realistic ittend,positive,acting matra realistic ittend
last eg message matra beautiful undu,positive,last eg message matra beautiful undu
Bank da online portal mast smooth ittnd payment malpareg la easy aand.,positive,bank da online portal mast smooth ittnd payment malpareg la easy aand
Event timing delay aand aik audience g mast time wait malpareg aand.,negative,event timing delay aand aik audience g mast time wait malpareg aand
"story old ithend, dala new ijji",negative,story old ithend dala new ijji
hero na dress antu ayeg full match apund,positive,hero na dress antu ayeg full match apund
undu okayish ittend,neutral,undu okayish ittend
ATM machine sari ittiji janakul poora frustrate ayer.,negative,atm machine sari ittiji janakul poora frustrate ayer
Blinkit snacks bega battnd packaging la yedde ittnd.,positive,blinkit snacks bega battnd packaging la yedde ittnd
story mast normal ittend kelav scenes anthu baji boring,negative,story mast normal ittend kelav scenes anthu baji boring
Saree exhibition discount mast useful aand collection la malla ittnd. ,positive,saree exhibition discount mast useful aand collection la malla ittnd
transitions matra saik undu,positive,transitions matra saik undu
movie direct maldina sari athiji waste,negative,movie direct maldina sari athiji waste
song da beat matra saik undu,positive,song da beat matra saik undu
Gym trainer yedde supportive itter aanda aat knowledge ittji. ,neutral,gym trainer yedde supportive itter aanda aat knowledge ittji
"story engaging ithend, attention grab malthend",positive,story engaging ithend attention grab malthend
Resort da view mast mind blowing ittnd photos mast laik baida. ,positive,resort da view mast mind blowing ittnd photos mast laik baida
undu chur boor lakka feel and,negative,undu chur boor lakka feel and
story line heart touching ithend,positive,story line heart touching ithend
Streaming app da content mast laik ittnd movies d variety laik ittnd. ,positive,streaming app da content mast laik ittnd movies d variety laik ittnd
chur ok ok lakka video undu,neutral,chur ok ok lakka video undu
Cinema hall sound yedde clear ittnd seats yedde comfortable itta sound quality la yedde ittnd. ,positive,cinema hall sound yedde clear ittnd seats yedde comfortable itta sound quality la yedde ittnd
Dance show average ittnd aanda costumes mata colourful itta.,neutral,dance show average ittnd aanda costumes mata colourful itta
Net banking service okay okay ittnd kelav functions slow itta. ,neutral,net banking service okay okay ittnd kelav functions slow itta
DJ night da lighting super ittnd beats mata yedde catchy itta. ,positive,dj night da lighting super ittnd beats mata yedde catchy itta
just normal movie undu not too good not too bad,neutral,just normal movie undu not too good not too bad
day matra laik pond mare after watching undu,positive,day matra laik pond mare after watching undu
Bike service da charge masth high aand ath worth ijji. ,negative,bike service da charge masth high aand ath worth ijji
undu chur fake lakka feel and,negative,undu chur fake lakka feel and
"screenplay tight ithend, bore athuji",positive,screenplay tight ithend bore athuji
undu full flop song ,negative,undu full flop song
yank mast laik and,positive,yank mast laik and
movie da flow normal undu,neutral,movie da flow normal undu
Restaurant da service mast slow aand bill la late battnd. ,negative,restaurant da service mast slow aand bill la late battnd
Taxi app crash avond ittnd booking malpareg mast banga aand.,negative,taxi app crash avond ittnd booking malpareg mast banga aand
director da manday matra saik crazy idea use malde,positive,director da manday matra saik crazy idea use malde
Pet cage material mast weak ittnd lock break aand. ,negative,pet cage material mast weak ittnd lock break aand
Theatre ticket booking app crash aad mast inconvenience aand. ,negative,theatre ticket booking app crash aad mast inconvenience aand
sotry matra flop ittend,negative,sotry matra flop ittend
Fish food quality okay okay ittnd water cloudy cloudy avareg start aand. ,neutral,fish food quality okay okay ittnd water cloudy cloudy avareg start aand
"storyline mast weak ittend , chur improve maldoli",negative,storyline mast weak ittend  chur improve maldoli
"choreography superb ithend, dance la yedde ithend",positive,choreography super ithend dance la yedde ithend
editing matra over cringe and,negative,editing matra over cringe and
ayena dance dala laik ittiji,negative,ayena dance dala laik ittiji
Pet shop items okay okay ittnd collection aath special ittiji. ,neutral,pet shop items okay okay ittnd collection aath special ittiji
acting matra ayena super undu,positive,acting matra ayena super undu
Govt office paperwork mast slow ittnd sumar delay avond ittnd. ,negative,govt office paperwork mast slow ittnd sumar delay avond ittnd
Match ticket rate jasti aand but crowd yedde enjoy malder. ,neutral,match ticket rate jasti aand but crowd yedde enjoy malder
Water heater leak avond ittnd service la mast slow ittnd. ,negative,water heater leak avond ittnd service la mast slow ittnd
Fitness app use malpareg mast easy aand workout guide la simple ittnd. ,positive,fitness app use malpareg mast easy aand workout guide la simple ittnd
Bus da seat okay okay ittnd ait special dala ittji. ,neutral,bus da seat okay okay ittnd ait special dala ittji
PC game mast lag avond ittnd controls la unresponsive itta. ,negative,pc game mast lag avond ittnd controls la unresponsive itta
undu normal average undu,neutral,undu normal average undu
Salon da facial neat ittnd skin la mast soft aand. ,positive,salon da facial neat ittnd skin la mast soft aand
second half chur jasti and,negative,second half chur jasti and
"movie message oriented ithend, like malthe yan",positive,movie message oriented ithend like malthe yan
direction la immature ithend talent waste malthe,negative,direction la immature ithend talent waste malthe
unndu kali one time tuvareg,neutral,unndu kali one time tuvareg
"climax message powerful ithend, thumbs up",positive,climax message powerful ithend thumbs up
song beat matra booring andh feel and,negative,song beat matra boring andh feel and
climax ye ijji movied ,negative,climax ye ijji movied
"cinema passable ithend, onji sarti watch",neutral,cinema passable ithend onji sarti watch
Ee cinema super und anda songs ath yedde ijji.,neutral,ee cinema super und anda songs ath yedde ijji
bgm matra crazy undu,positive,bgm matra crazy undu
Bank staff mast helpful itter account bega open malth koryer.,positive,bank staff mast helpful itter account bega open malth koryer
"yenk dislike and, kushi athiji",negative,yenk dislike and kushi athiji
Festival d crowd mast itter entry management chur la yedde ittji.,negative,festival d crowd mast itter entry management chur la yedde ittji
storyline matra normal ittend,neutral,storyline matra normal ittend
dance matra crazy undu mass level,positive,dance matra crazy undu mass level
Theme park rides mast old itta maintenance yedde ittjji. ,negative,theme park rides mast old itta maintenance yedde ittjji
undu bad direction undu,negative,undu bad direction undu
"cinema vibes mass ithend, yan enjoy malthe",positive,cinema vibes mass ithend yan enjoy malthe
House shifting service okay okay ittnd packaging la fine. ,neutral,house shifting service okay okay ittnd packaging la fine
overall effect average undu,neutral,overall effect average undu
Shampoo bottle design yedde neat ittnd anda smell neutral ittnd. ,neutral,shampoo bottle design yedde neat ittnd anda smell neutral ittnd
undu storyline ok ok undu,neutral,undu storyline ok ok undu
Delivery boy mast careless itte aye yenna parcel ye tirth padiye. ,negative,delivery boy mast careless itte aye yenna parcel ye tirth padiye
Meals yedde filling ittnd aanda sambar da taste normal ittnd aath special ittji.,neutral,meals yedde filling ittnd aanda sambar da taste normal ittnd aath special ittji
AC repair mast yedde malte cooling fast avond ittnd. ,positive,ac repair mast yedde malte cooling fast avond ittnd
"Hotel da washroom mast narakka ittnd, cleaning onchoor la yedde ittji. ",negative,hotel da washroom mast narakka ittnd cleaning onchoor la yedde ittji
E-commerce site d mast bugs itta ait cart crash avond ittnd. (,negative,ecommerce site d mast bugs itta ait cart crash avond ittnd
Live concert management yeded ittji entry mast chaotic ittnd. ,negative,live concert management yeded ittji entry mast chaotic ittnd
Packaged milk d mast bad smell barond ittnd milk spoil aad ittnd.,negative,packaged milk d mast bad smell barond ittnd milk spoil aad ittnd
director eg matra salute korod,positive,director eg matra salute korod
"video mast yedde undu, inchane malpule",positive,video mast yedde undu inchane malpule
"Service g baidini, aanda delay aand.",negative,service g baidini aanda delay aand
Trek path average ittnd signage kammi aand. ,neutral,trek path average ittnd signage kammi aand
"sound design fine ithend, dala special ijji",neutral,sound design fine ithend dala special ijji
yenk neutral feel and watching ed,neutral,yenk neutral feel and watching ed
yank mast inspiration sikkend,positive,yank mast inspiration sikkend
climax matra crazy undu super,positive,climax matra crazy undu super
Pizza da base mast hard ittnd ait cheese la mast kammi paddhitter. ,negative,pizza da base mast hard ittnd ait cheese la mast kammi paddhitter
Hospital da staff yedde polite itter wait time la kammi ittnd. ,positive,hospital da staff yedde polite itter wait time la kammi ittnd
Concert da sound system mast clear ittnd music la super ittnd.,positive,concert da sound system mast clear ittnd music la super ittnd
first half ok ittend second half mast drag malder,negative,first half ok ittend second half mast drag malder
yank matra madyad boor andya,negative,yank matra madyad boor andya
Municipality garbage collection okay okay ittnd kelav sari late avond ittnd.,neutral,municipality garbage collection okay okay ittnd kelav sari late avond ittnd
Lipstick shade mast yedde ittnd texture yedde smooth ittnd. ,positive,lipstick shade mast yedde ittnd texture yedde smooth ittnd
Belt da quality yedde ittji leather bega haal aand. ,negative,belt da quality yedde ittji leather bega haal aand
climax dala yedde ittiji,negative,climax dala yedde ittiji
bro ok ok experience undu,neutral,bro ok ok experience undu
song repeate malpre matra worth undu,positive,song repeate malpre matra worth undu
"direction fine ithend, dala special ithiji",neutral,direction fine ithend dala special ithiji
Baby blanket aath yedde ittji aanda size perfect ittnd. ,neutral,baby blanket aath yedde ittji aanda size perfect ittnd
Spare parts shop average ittnd stock la limited ittnd.,neutral,spare parts shop average ittnd stock la limited ittnd
dance step matra clean undya,positive,dance step matra clean undya
undu climax baji waste ittend,negative,undu climax baji waste ittend
movied logic ye ittiji ,negative,movied logic ye ittiji
bgm matra crazy undu repeat malted kenga andh and,positive,bgm matra crazy undu repeat malted kenga andh and
Flat interior design mast stylish ittnd finishing la neat aand. ,positive,flat interior design mast stylish ittnd finishing la neat aand
"Park atmosphere yedde calm ittnd, baidina pooragulu enjoy malter.",positive,park atmosphere yedde calm ittnd baidina pooragulu enjoy malter
Singer voice awesome ittnd performance la super. ,positive,singer voice awesome ittnd performance la super
"overall cinema average undu, neutral feel and",neutral,overall cinema average undu neutral feel and
Holi colours mast  low quality itta skin allergy aand. ,negative,holi colours mast  low quality itta skin allergy aand
"hero na acting average ithend, impress atiji",negative,hero na acting average ithend impress atiji
Festive queue okay okay ittnd waiting manageable ittnd. ,neutral,festive queue okay okay ittnd waiting manageable ittnd
headache avare karana undu,negative,headache avare karana undu
aye chur over malde ,negative,aye chur over malde
time pass goskara tupini nothing special,neutral,time pass goskara tupini nothing special
script baji waste undu,negative,script baji waste undu
overall simple undu ,neutral,overall simple undu
Ice cream da flavour mast yedde ittnd cone la mast crunchy ittnd. ,positive,ice cream da flavour mast yedde ittnd cone la mast crunchy ittnd
Pest control spray mast useless ittnd insects poora pothiji. ,negative,pest control spray mast useless ittnd insects poora pothiji
Phone da sound quality clear undu calls smoothly malpoli.,positive,phone da sound quality clear undu calls smoothly malpoli
motivation matra laik korte,positive,motivation matra laik korte
visuals matra laik undu,positive,visuals matra laik undu
Art exhibition laik ittnd paintings mata mast  interesting itta. ,positive,art exhibition laik ittnd paintings mata mast  interesting itta
Train correct time g battnd boka journey la yedde smooth ittnd. ,positive,train correct time g battnd boka journey la yedde smooth ittnd
Accessory shop d items okay okay itta aanda collection limited ittnd. ,neutral,accessory shop d items okay okay itta aanda collection limited ittnd
mast efforts padijer but ok undu,neutral,mast efforts padijer but ok undu
anna undu kammi hype korpund,negative,anna undu kammi hype korpund
background music matra waste,negative,background music matra waste
villain da acting matra next level undu,positive,villain da acting matra next level undu
Local mela toilets mast dirty itta hygiene mast narakka ittnd. ,negative,local mela toilets mast dirty itta hygiene mast narakka ittnd
Park da atmosphere yedde peaceful ittnd kaande da walk mast yedde ittnd. ,positive,park da atmosphere yedde peaceful ittnd kaande da walk mast yedde ittnd
Housing loan process smooth d aand nana party malpoli. ,positive,housing loan process smooth d aand nana party malpoli
climax matra full twist undu,positive,climax matra full twist undu
Tea da taste normal ittnd aath strong ittji.,neutral,tea da taste normal ittnd aath strong ittji
nett dala posa unique scene ittiji ,neutral,nett dala posa unique scene ittiji
Bank da staff mast rude itter yenna enquiry g chur la help maldijer. ,negative,bank da staff mast rude itter yenna enquiry g chur la help maldijer
"action repeat ithend, orginality ijji",negative,action repeat ithend orginality ijji
yannada neutral response undu,neutral,yannada neutral response undu
climax twist matra super undu,positive,climax twist matra super undu
Hotel staff mast rude itter checkin malpanaga mast late aand.,negative,hotel staff mast rude itter checkin malpanaga mast late aand
Car battery dead aad mast inconvenience aand. ,negative,car battery dead aad mast inconvenience aand
Movie da songs mast melodius ad itta audience poora clap malter. ,positive,movie da songs mast melodius ad itta audience poora clap malter
netta story line matra average undu,neutral,netta story line matra average undu
yank song matra mast ishta and,positive,yank song matra mast ishta and
Electrician mast late batte wiring la complete maldije.,negative,electrician mast late batte wiring la complete maldije
movie avergae unduya aatth dala ittiji,neutral,movie avergae unduya aatth dala ittiji
background score matra toppp undu,positive,background score matra toppp undu
Gym da equipment poora new ittnd trainer la yedde help malder. ,positive,gym da equipment poora new ittnd trainer la yedde help malder
Doll da dress quality yedde ittji mast bega tear aand. ,negative,doll da dress quality yedde ittji mast bega tear aand
undu movie ok ok lakka ittend,neutral,undu movie ok ok lakka ittend
Music app playlist okay okay ittnd aanda song collection limited ittnd. ,neutral,music app playlist okay okay ittnd aanda song collection limited ittnd
undu matra flop a andh,negative,undu matra flop a andh
undu baji weak twist mare ,negative,undu baji weak twist mare
undu ok ok undu,neutral,undu ok ok undu
Website da speed okay okay ittnd load time la average ittnd. ,neutral,website da speed okay okay ittnd load time la average ittnd
Juicer filter mast weak ittnd mast pulp waste avond ittnd.,negative,juicer filter mast weak ittnd mast pulp waste avond ittnd
Online class system yeddde ittnd anda internet mast lag avond ittind. ,neutral,online class system yeddde ittnd anda internet mast lag avond ittind
Doctor dalpa checkup bega aand explanation la mast clear aad koryer.,positive,doctor dalpa checkup bega aand explanation la mast clear aad koryer
hero boka heroin da jodi laik undu,positive,hero boka heroin da jodi laik undu
Seminar da topics okay okay itta kelav boring la itta. ,neutral,seminar da topics okay okay itta kelav boring la itta
Swiggy order cancel aand refund la mast late battnd.,negative,swiggy order cancel aand refund la mast late battnd
Football ground okay okay ittnd grass mast uneven ittnd. ,neutral,football ground okay okay ittnd grass mast uneven ittnd
Diwali market lights mast beautiful itta stalls mata full of energy itta. ,positive,diwali market lights mast beautiful itta stalls mata full of energy itta
song da lyrics matra sakath undu,positive,song da lyrics matra sakath undu
boss ee level up maltana and,positive,boss ee level up maltana and
